Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
104,3.47,28,114.00,6.94,19.89,0.6670,alto,No
105,3.50,27,108.00,7.11,19.89,0.6670,alto,No
106,3.54,28,114.00,7.21,19.89,0.6660,alto,No
107,3.57,26,108.00,7.15,19.90,0.6670,alto,No
108,3.60,24,108.00,6.83,19.90,0.6680,alto,No
109,3.64,24,120.00,7.03,19.91,0.6670,alto,No
110,3.67,24,120.00,7.03,19.91,0.6670,alto,No
111,3.70,26,120.00,7.09,19.93,0.6670,alto,No
112,3.74,27,114.00,7.35,25.04,0.6780,alto,No
113,3.77,27,108.00,7.49,19.94,0.6650,alto,No
114,3.80,27,114.00,7.44,19.94,0.6660,alto,No
115,3.84,27,114.00,7.87,22.83,0.6700,alto,No
116,3.87,28,108.00,7.54,25.37,0.6780,alto,No
117,3.90,29,108.00,7.83,25.34,0.6760,alto,No
118,3.94,29,114.00,7.99,25.30,0.6760,alto,No
119,3.97,29,126.00,8.01,24.89,0.6750,alto,No
120,4.00,27,114.00,7.79,24.90,0.6760,alto,No
121,4.04,27,120.00,7.46,19.93,0.6650,alto,No
122,4.07,25,120.00,8.83,19.94,0.6600,alto,No
123,4.10,28,120.00,8.67,25.01,0.6720,alto,No
124,4.14,28,120.00,8.51,24.95,0.6730,alto,No
125,4.17,29,120.00,8.58,24.91,0.6720,alto,No
126,4.20,26,120.00,8.58,19.93,0.6610,alto,No
127,4.24,27,132.00,8.57,24.78,0.6720,alto,No
128,4.27,29,138.00,9.02,24.72,0.6700,alto,No
129,4.30,30,132.00,9.22,24.70,0.6690,alto,No
130,4.34,30,132.00,9.23,24.69,0.6690,alto,No
131,4.37,29,126.00,9.42,22.14,0.6620,alto,No
132,4.40,29,120.00,9.05,24.54,0.6700,alto,No
133,4.44,28,120.00,9.01,24.47,0.6700,alto,No
134,4.47,28,120.00,9.09,24.45,0.6690,alto,No
135,4.50,27,120.00,9.15,24.38,0.6690,alto,No
136,4.54,28,120.00,9.23,24.34,0.6680,alto,No
137,4.57,28,120.00,9.27,24.29,0.6680,alto,No
138,4.60,28,120.00,9.50,21.77,0.6610,alto,No
139,4.64,27,120.00,9.63,24.19,0.6660,alto,No
140,4.67,28,120.00,9.57,24.13,0.6660,alto,No
141,4.70,28,120.00,9.56,24.07,0.6660,alto,No
142,4.74,26,114.00,9.68,21.60,0.6600,alto,No
143,4.77,28,114.00,9.56,21.55,0.6600,alto,No
144,4.80,29,114.00,9.53,22.15,0.6620,alto,No
145,4.84,28,114.00,9.46,22.08,0.6620,alto,No
146,4.87,29,120.00,9.52,21.99,0.6620,alto,No
147,4.90,33,126.00,9.64,24.90,0.6680,alto,No
148,4.94,33,126.00,9.60,24.77,0.6680,alto,No
149,4.97,31,132.00,9.54,24.70,0.6680,alto,No
150,5.00,33,144.00,9.53,24.62,0.6680,alto,No
151,5.04,30,150.00,9.25,21.84,0.6620,alto,No
152,5.07,29,144.00,8.90,24.52,0.6700,alto,No
153,5.11,29,138.00,9.08,24.46,0.6690,alto,No
154,5.14,29,138.00,9.09,24.42,0.6690,alto,No
155,5.17,31,132.00,8.65,24.32,0.6710,alto,No
156,5.21,30,132.00,8.67,24.27,0.6710,alto,No
157,5.24,29,132.00,8.79,21.30,0.6630,alto,No
158,5.27,33,132.00,9.06,24.13,0.6690,alto,No
159,5.31,30,132.00,8.87,24.07,0.6690,alto,No
160,5.34,29,132.00,8.97,21.02,0.6620,alto,No
161,5.37,27,132.00,9.16,20.97,0.6610,alto,No
162,5.41,27,132.00,9.03,20.85,0.6610,alto,No
163,5.44,28,132.00,8.95,23.45,0.6670,alto,No
164,5.47,28,138.00,8.98,23.71,0.6680,alto,No
165,5.51,29,132.00,8.96,23.69,0.6680,alto,No
166,5.54,28,132.00,8.96,20.49,0.6600,alto,No
167,5.57,29,138.00,8.89,20.41,0.6610,alto,No
168,5.61,29,144.00,9.19,20.31,0.6590,alto,No
169,5.64,28,144.00,9.38,22.87,0.6640,alto,No
170,5.67,29,144.00,9.76,20.17,0.6560,alto,No
171,5.71,30,150.00,9.84,23.77,0.6640,alto,No
172,5.74,30,150.00,9.97,24.01,0.6640,alto,No
173,5.77,29,150.00,10.06,24.02,0.6640,alto,No
174,5.81,27,144.00,10.04,24.02,0.6640,alto,No
175,5.84,28,144.00,10.00,24.01,0.6640,alto,No
176,5.87,32,150.00,10.22,24.03,0.6630,alto,No
177,5.91,31,144.00,10.18,24.01,0.6640,alto,No
178,5.94,30,144.00,10.21,23.99,0.6630,alto,No
179,5.97,28,150.00,10.16,23.99,0.6640,alto,No
180,6.01,28,156.00,10.08,22.78,0.6610,alto,No
181,6.04,30,150.00,9.68,22.73,0.6630,alto,No
182,6.07,28,150.00,9.88,22.68,0.6620,alto,No
183,6.11,29,144.00,9.96,23.98,0.6640,alto,No
184,6.14,30,156.00,9.83,23.99,0.6650,alto,No
185,6.17,30,156.00,9.59,23.98,0.6660,alto,No
186,6.21,30,150.00,9.62,23.97,0.6660,alto,No
187,6.24,29,144.00,9.50,23.97,0.6660,alto,No
188,6.27,31,144.00,9.66,23.94,0.6660,alto,No
